SampleID,Season,Tide.regime,Date,ShortDate,Time,DateFull,Epoch_timestamp,TideShort,Tide,DateTide,DateOrder,SampleType,Well,Depth,DepthMSL,depth_bin,DistanceMSL,DistanceW1,cluster,Temperature,Salinity,DO_mg.l,DO_uM,pH,Nitrite,Nitrate,Phosphate,Ammonium,Cells_mL,DOC,TN,CobleA,CobleB,CobleC,CobleM,CobleT,Fpeak,Stedmon_D,Optical_Brighteners,Lignin,BIX,HIX,FI,M_to_C
230222_H_W4D1,February 2022,Neap,2/23/22,23-Feb,3:44:00,2/23/22 3:44,1645616640,H,HH,23-Feb-H,1,Chemical,Well 4,Depth 1,-0.420624,-0.25,35.87,19.2786,Well 4,9.5,30.5,9.5,296.8864,7.7,0,67.8246839,6.618505043,7.873974121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
230222_H_W4D2,February 2022,Neap,2/23/22,23-Feb,3:44:00,2/23/22 3:44,1645616640,H,HH,23-Feb-H,1,Chemical,Well 4,Depth 2,-0.588264,-0.5,35.87,19.2786,Well 4,10.2,27.5,8.35,260.94752,7.8,0,63.18404763,3.680534512,1.294503906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
230222_H_W4D3,February 2022,Neap,2/23/22,23-Feb,3:44:00,2/23/22 3:44,1645616640,H,HH,23-Feb-H,1,Chemical,Well 4,Depth 3,-1.00584,-1,35.87,19.2786,Well 4,10.3,19.8,4.86,151.880832,7.8,0,74.6785467,5.068806301,2.040629394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
230222_H_W4D4,February 2022,Neap,2/23/22,23-Feb,3:44:00,2/23/22 3:44,1645616640,H,HH,23-Feb-H,1,Chemical,Well 4,Depth 4,-1.76784,-1.75,35.87,19.2786,Well 4,10.1,15.9,4.62,144.380544,7.9,0,91.59902047,5.068806301,1.294503906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
230222_H_W3D2,February 2022,Neap,2/23/22,23-Feb,4:20:00,2/23/22 4:20,1645618800,H,HH,23-Feb-H,1,Chemical,Well 3,Depth 2,0.155448,0.25,44.97,10.186416,Shallow,12,2.7,4.86,151.880832,8.9,0,84.81655208,8.039062223,2.126646369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
230222_H_W3D3,February 2022,Neap,2/23/22,23-Feb,4:20:00,2/23/22 4:20,1645618800,H,HH,23-Feb-H,1,Chemical,Well 3,Depth 3,-0.326136,-0.25,44.97,10.186416,Intermediate,12.2,2.7,2.4,75.00288,8.6,0,140.7897649,14.2055718,0.474526387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
230222_H_W3D4,February 2022,Neap,2/23/22,23-Feb,4:20:00,2/23/22 4:20,1645618800,H,HH,23-Feb-H,1,Chemical,Well 3,Depth 4,-1.088136,-1,44.97,10.186416,Deep,11.4,7.2,1.83,57.189696,7.8,1.356493678,74.46436348,20.3075106,1.769311034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
230222_H_W2D2,February 2022,Neap,2/23/22,23-Feb,4:48:00,2/23/22 4:48,1645620480,H,HH,23-Feb-H,1,Chemical,Well 2,Depth 2,0.347472,0.5,50.45,4.700016,Shallow,10.7,5.6,9.76,305.011712,8.5,112.2320033,126.6536728,10.1376126,13.09685254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
230222_H_W2D3,February 2022,Neap,2/23/22,23-Feb,4:48:00,2/23/22 4:48,1645620480,H,HH,23-Feb-H,1,Chemical,Well 2,Depth 3,-0.222504,0,50.45,4.700016,Intermediate,12.2,0.9,3.31,103.441472,9,0.356972021,482.9117494,71.44756907,1.364129454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
230222_H_W1D2,February 2022,Neap,2/23/22,23-Feb,5:05:00,2/23/22 5:05,1645621500,H,HH,23-Feb-H,1,Chemical,Well 1,Depth 2,0.536448,0.75,55.15,0,Shallow,12.8,1.4,5.17,161.568704,8.6,0,270.0850307,36.67620356,1.872474064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
230222_H_W1D3,February 2022,Neap,2/23/22,23-Feb,5:05:00,2/23/22 5:05,1645621500,H,HH,23-Feb-H,1,Chemical,Well 1,Depth 3,-0.033528,0,55.15,0,Shallow,12.9,0.8,2.94,91.878528,8.5,0,228.961854,13.91500329,0.220354082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
230222_L_W1D2,February 2022,Neap,2/23/22,23-Feb,12:14:00,2/23/22 12:14,1645647240,L,LL,23-Feb-L,2,Microbial,Well 1,Depth 2,0.536448,0.75,55.15,0,Shallow,14.8,1.5,4.94,154.380928,8.7,0.499760829,317.4195207,42.87499852,2.380818674,1016108.874,806.9379803,345.522143,0.628546881,0.124625355,0.502790623,0.819876384,0.590772783,0.103329672,0.490666805,0.505910631,1.524403552,1.380939622,12.90067735,1.03400175,0.613251745
230222_L_W1D3,February 2022,Neap,2/23/22,23-Feb,12:14:00,2/23/22 12:14,1645647240,L,LL,23-Feb-L,2,Microbial,Well 1,Depth 3,-0.033528,0,55.15,0,Shallow,15,0.8,1.73,54.064576,8.2,0,470.132151,23.76204737,1.173500226,461421.421,512.7836013,454.1130316,0.54205296,0.061132094,0.448750606,0.687246518,0.263375761,0.085838095,0.461304901,0.456989836,0.915413218,1.344163844,16.76798093,1.030520901,0.652968905
